restaurant_name,rating,total_reviews,category,address,phone,website,google_maps_url,data_source,city,rating_scaled,reviews_scaled,trending_score,tags,budget_bucket,estimated_cost_for_two,area
56 Dukaan (Chhappan Dukaan),4.4,262910,Food court,"56 Dukan St, 11 Bungalow Colony, New Palasia, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/56+Dukaan+%28Chhappan+Dukaan%29/data=!4m7!3m6!1s0x3962fd3cf941d105:0x2bf85b701a856a4b!8m2!3d22.7236894!4d75.8846462!16s%2Fg%2F11j373svfh!19sChIJBdFB-Tz9YjkRS2qFGnBb-Cs?authuser=0&hl=en&rclk=1,Google Maps,Indore,0.8800000000000001,1.0,0.952,,mid_range,1200,Palasia
Cakewalk Radisson Indore,4.5,235970,,"No 94 C, 12, Scheme, Ring Rd, Scheme 94 Sector CA, Indore, Madhya Pradesh 452010",0731 673 8888,https://www.radissonhotels.com/en-us/hotels/radisson-blu-indore?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INMPIDR2,https://www.google.com/maps/search/Cakewalk+Radisson+Indore,Google Maps,Indore,0.9,0.8975314746491195,0.8985188847894718,,mid_range,1200,Indore
Dutt Gurukripa Restaurant,4.1,139850,Vegetarian restaurant,,,,https://www.google.com/maps/place/Dutt+Gurukripa+Restaurant/data=!4m7!3m6!1s0x3962fd3e01f9a8f1:0xee2acafd9d69fa2d!8m2!3d22.7197246!4d75.8768473!16s%2Fg%2F11bwydf8x7!19sChIJ8aj5AT79YjkRLfppnf3KKu4?authuser=0&hl=en&rclk=1,Google Maps,Indore,0.82,0.5319310790764901,0.647158647445894,restaurant,mid_range,1200,Indore
Indore Marriott Hotel,4.4,127910,,"H-2 Scheme No 54, Meghdoot Garden, Vijay Nagar, Indore, Madhya Pradesh 452010",0731 477 7777,https://www.marriott.com/en-us/hotels/idrmh-indore-marriott-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,https://www.google.com/maps/search/Indore+Marriott+Hotel,Google Maps,Indore,0.8800000000000001,0.4865162983530486,0.6439097790118292,,mid_range,1200,Vijay Nagar
The Waterfall Restaurant Indore,4.8,108790,Restaurant,"The Waterfall Restaurant, near MITM College / Medicaps, Indore, Madhya Pradesh 453331",,,https://www.google.com/maps/place/The+Waterfall+Restaurant+Indore/data=!4m7!3m6!1s0x3962f9072272d8c3:0x8f0eb02c506070a0!8m2!3d22.6182403!4d75.8010383!16s%2Fg%2F11j8wthl5y!19sChIJw9hyIgf5YjkRoHBgUCywDo8?authuser=0&hl=en&rclk=1,Google Maps,Indore,0.96,0.4137917918679396,0.6322750751207638,restaurant,mid_range,1200,Indore
Lucknowi zaika,4.4,103640,Food court,"Arcade Silver 56, LG 5 arched silver 56 dukan LG 5 arched, bukan, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Lucknowi+zaika/data=!4m7!3m6!1s0x3962fd40bfffffff:0xd6e04b83137ffc6f!8m2!3d22.7247689!4d75.8839397!16s%2Fg%2F11b7hr_32f!19sChIJ____v0D9YjkRb_x_E4NL4NY?authuser=0&hl=en&rclk=1,Google Maps,Indore,0.8800000000000001,0.3942033395458522,0.5885220037275114,,mid_range,1200,Indore
Shreemaya Residency Restaurant,4.5,90490,,,,https://www.shreemaya.com/pages/hotel-shreemaya-residency,https://www.google.com/maps/place/Shreemaya+Residency+Restaurant/data=!4m10!3m9!1s0x3962fd4e2d425f83:0x5f94b78188baa551!5m2!4m1!1i2!8m2!3d22.7398712!4d75.8924654!16s%2Fg%2F11btm9_77k!19sChIJg19CLU79YjkRUaW6iIG3lF8?authuser=0&hl=en&rclk=1,Google Maps,Indore,0.9,0.3441862234224639,0.5665117340534784,restaurant,mid_range,1200,Indore
Nafees Restaurant,4.0,105020,Indian Muslim restaurant,,,,https://www.google.com/maps/place/Nafees+Restaurant/data=!4m7!3m6!1s0x3962fd3801510bbf:0x6d8191294761bb3d!8m2!3d22.7258553!4d75.8879332!16s%2Fg%2F1tk8l_9q!19sChIJvwtRATj9YjkRPbthRymRgW0?authuser=0&hl=en&rclk=1,Google Maps,Indore,0.8,0.3994522840515766,0.5596713704309461,restaurant,mid_range,1200,Indore
Flavours Of Jail ( Jail Cafe India ),4.7,73810,Cafe,,,http://www.instagram.com/theindoriicafe,https://www.google.com/maps/place/Flavours+Of+Jail+%28+Jail+Cafe+India+%29/data=!4m7!3m6!1s0x3962fce0b94d8411:0x22c894208dfaa828!8m2!3d22.6971347!4d75.8755301!16s%2Fg%2F11ggshfh3h!19sChIJEYRNueD8YjkRKKj6jSCUyCI?authuser=0&hl=en&rclk=1,Google Maps,Indore,0.94,0.2807424593967517,0.5444454756380511,"cafe, coffee_dessert",mid_range,1200,Indore
Little Monk,4.6,77260,Fine dining restaurant,,,https://www.littlemonk.co.in/,https://www.google.com/maps/place/Little+Monk/data=!4m7!3m6!1s0x396302f05fbf507f:0x2a0f9e2e53b3d676!8m2!3d22.780577!4d75.8624356!16s%2Fg%2F11f53ncfxw!19sChIJf1C_X_ACYzkRdtazUy6eDyo?authuser=0&hl=en&rclk=1,Google Maps,Indore,0.92,0.2938648206610627,0.5443188923966377,"family, restaurant",mid_range,2200,Indore
