name,url,search_query
The Crush Coffee,https://www.google.com/maps/place/The+Crush+Coffee/data=!4m7!3m6!1s0x3962fdb184f72699:0x2bde6564a7e20ba2!8m2!3d22.7188324!4d75.8840749!16s%2Fg%2F11w7nry4mr!19sChIJmSb3hLH9YjkRogvip2Rl3is?authuser=0&hl=en&rclk=1,cafes in Indore
The Coffee Concept Janjeerwala Square,https://www.google.com/maps/place/The+Coffee+Concept+Janjeerwala+Square/data=!4m7!3m6!1s0x3962fd00514d6675:0xc676675f2ec0a2bb!8m2!3d22.7258695!4d75.8821315!16s%2Fg%2F11y6_c_yf8!19sChIJdWZNUQD9YjkRu6LALl9ndsY?authuser=0&hl=en&rclk=1,cafes in Indore
Habit - Coffee Lounge,https://www.google.com/maps/place/Habit+-+Coffee+Lounge/data=!4m7!3m6!1s0x3962fdfe22054479:0x37e30356ffbafc6c!8m2!3d22.7250854!4d75.8844668!16s%2Fg%2F11rtszrf8k!19sChIJeUQFIv79YjkRbPy6_1YD4zc?authuser=0&hl=en&rclk=1,cafes in Indore
Amigos Café and Restaurant,https://www.google.com/maps/place/Amigos+Caf%C3%A9+and+Restaurant/data=!4m7!3m6!1s0x3962e3e170ab6969:0xc952f77b59d472f2!8m2!3d22.7304376!4d75.9024182!16s%2Fg%2F11s8c12hjf!19sChIJaWmrcOHjYjkR8nLUWXv3Usk?authuser=0&hl=en&rclk=1,cafes in Indore
Mangosteen Cafe,https://www.google.com/maps/place/Mangosteen+Cafe/data=!4m7!3m6!1s0x3962e3802902f807:0xbc78ea44094fb566!8m2!3d22.7060253!4d75.9242174!16s%2Fg%2F11y3v0852w!19sChIJB_gCKYDjYjkRZrVPCUTqeLw?authuser=0&hl=en&rclk=1,cafes in Indore
Piccolo Cafe,https://www.google.com/maps/place/Piccolo+Cafe/data=!4m7!3m6!1s0x396303f6b39d7283:0x7d2802e4e4eae2fa!8m2!3d22.7545465!4d75.8812716!16s%2Fg%2F11vpt8fxmg!19sChIJg3Kds_YDYzkR-uLq5OQCKH0?authuser=0&hl=en&rclk=1,cafes in Indore
ARTISTREE CAFE,https://www.google.com/maps/place/ARTISTREE+CAFE/data=!4m7!3m6!1s0x3962fd0025ebf203:0xd58b35b39844c612!8m2!3d22.7259277!4d75.8844483!16s%2Fg%2F11vwjjwx7f!19sChIJA_LrJQD9YjkREsZEmLM1i9U?authuser=0&hl=en&rclk=1,cafes in Indore
Lotus Hut Cafe,https://www.google.com/maps/place/Lotus+Hut+Cafe/data=!4m7!3m6!1s0x3962fd158c5708c7:0x3b67a2b95a8d23de!8m2!3d22.720828!4d75.8758399!16s%2Fg%2F11dympbhk4!19sChIJxwhXjBX9YjkR3iONWrmiZzs?authuser=0&hl=en&rclk=1,cafes in Indore
The Throb Cafe,https://www.google.com/maps/place/The+Throb+Cafe/data=!4m7!3m6!1s0x3962fd0d18618beb:0x2d1d60a5760b83be!8m2!3d22.7285732!4d75.8941384!16s%2Fg%2F11vqlsbb47!19sChIJ64thGA39YjkRvoMLdqVgHS0?authuser=0&hl=en&rclk=1,cafes in Indore
"Cafe Palette, Indore","https://www.google.com/maps/place/Cafe+Palette,+Indore/data=!4m7!3m6!1s0x3962fd353fef94f5:0xb043c67e57f1559c!8m2!3d22.7254257!4d75.8985215!16s%2Fg%2F1hc2_qnh4!19sChIJ9ZTvPzX9YjkRnFXxV37GQ7A?authuser=0&hl=en&rclk=1",cafes in Indore
The Eyry | Speciality Coffee | Amazing Food & Bakery | Coworking space Indore,https://www.google.com/maps/place/The+Eyry+%7C+Speciality+Coffee+%7C+Amazing+Food+%26+Bakery+%7C+Coworking+space+Indore/data=!4m7!3m6!1s0x3962fd4093ea09f9:0xff8b4c258c6a0b79!8m2!3d22.7268009!4d75.8803164!16s%2Fg%2F11f28vmr0r!19sChIJ-Qnqk0D9YjkReQtqjCVMi_8?authuser=0&hl=en&rclk=1,cafes in Indore
11:11 Coffee,https://www.google.com/maps/place/11:11+Coffee/data=!4m7!3m6!1s0x3962fd15ae9986a9:0xfea89cab0831fc0a!8m2!3d22.7215903!4d75.8742028!16s%2Fg%2F1hm6743kp!19sChIJqYaZrhX9YjkRCvwxCKucqP4?authuser=0&hl=en&rclk=1,cafes in Indore
Falodi Cafe,https://www.google.com/maps/place/Falodi+Cafe/data=!4m7!3m6!1s0x3962fdced3990a33:0xf82b2c12e601a667!8m2!3d22.7251888!4d75.8840601!16s%2Fg%2F11lnzrr0d7!19sChIJMwqZ0879YjkRZ6YB5hIsK_g?authuser=0&hl=en&rclk=1,cafes in Indore
