name,url,search_query
The Coffee Concept Janjeerwala Square,https://www.google.com/maps/place/The+Coffee+Concept+Janjeerwala+Square/data=!4m7!3m6!1s0x3962fd00514d6675:0xc676675f2ec0a2bb!8m2!3d22.7258695!4d75.8821315!16s%2Fg%2F11y6_c_yf8!19sChIJdWZNUQD9YjkRu6LALl9ndsY?authuser=0&hl=en&rclk=1,coffee shops in Indore
The Crush Coffee,https://www.google.com/maps/place/The+Crush+Coffee/data=!4m7!3m6!1s0x3962fdb184f72699:0x2bde6564a7e20ba2!8m2!3d22.7188324!4d75.8840749!16s%2Fg%2F11w7nry4mr!19sChIJmSb3hLH9YjkRogvip2Rl3is?authuser=0&hl=en&rclk=1,coffee shops in Indore
11:11 Coffee,https://www.google.com/maps/place/11:11+Coffee/data=!4m7!3m6!1s0x3962fd15ae9986a9:0xfea89cab0831fc0a!8m2!3d22.7215903!4d75.8742028!16s%2Fg%2F1hm6743kp!19sChIJqYaZrhX9YjkRCvwxCKucqP4?authuser=0&hl=en&rclk=1,coffee shops in Indore
Habit - Coffee Lounge,https://www.google.com/maps/place/Habit+-+Coffee+Lounge/data=!4m7!3m6!1s0x3962fdfe22054479:0x37e30356ffbafc6c!8m2!3d22.7250854!4d75.8844668!16s%2Fg%2F11rtszrf8k!19sChIJeUQFIv79YjkRbPy6_1YD4zc?authuser=0&hl=en&rclk=1,coffee shops in Indore
The Eyry | Speciality Coffee | Amazing Food & Bakery | Coworking space Indore,https://www.google.com/maps/place/The+Eyry+%7C+Speciality+Coffee+%7C+Amazing+Food+%26+Bakery+%7C+Coworking+space+Indore/data=!4m7!3m6!1s0x3962fd4093ea09f9:0xff8b4c258c6a0b79!8m2!3d22.7268009!4d75.8803164!16s%2Fg%2F11f28vmr0r!19sChIJ-Qnqk0D9YjkReQtqjCVMi_8?authuser=0&hl=en&rclk=1,coffee shops in Indore
Cafe Bakewell,https://www.google.com/maps/place/Cafe+Bakewell/data=!4m7!3m6!1s0x3962fd3c1f4bdeaf:0x9fbc80b791e196e6!8m2!3d22.719512!4d75.8836762!16s%2Fg%2F1260ct7z2!19sChIJr95LHzz9YjkR5pbhkbeAvJ8?authuser=0&hl=en&rclk=1,coffee shops in Indore
"Nothing Before Coffee- New Palasia, Indore","https://www.google.com/maps/place/Nothing+Before+Coffee-+New+Palasia,+Indore/data=!4m7!3m6!1s0x3962fd2f9cc28e9b:0x4bb527673fa3c74!8m2!3d22.7299385!4d75.882618!16s%2Fg%2F11rssmwrhw!19sChIJm47CnC_9YjkRdDz6c3ZSuwQ?authuser=0&hl=en&rclk=1",coffee shops in Indore
Lotus Hut Cafe,https://www.google.com/maps/place/Lotus+Hut+Cafe/data=!4m7!3m6!1s0x3962fd158c5708c7:0x3b67a2b95a8d23de!8m2!3d22.720828!4d75.8758399!16s%2Fg%2F11dympbhk4!19sChIJxwhXjBX9YjkR3iONWrmiZzs?authuser=0&hl=en&rclk=1,coffee shops in Indore
Bunkyard Cafe Indore,https://www.google.com/maps/place/Bunkyard+Cafe+Indore/data=!4m7!3m6!1s0x3962fd3d4f45dfe5:0xbefba83c589df7ce!8m2!3d22.7199683!4d75.8883226!16s%2Fg%2F11qh7h09sk!19sChIJ5d9FTz39YjkRzvedWDyo-74?authuser=0&hl=en&rclk=1,coffee shops in Indore
THE CRUSH COFFEE,https://www.google.com/maps/place/THE+CRUSH+COFFEE/data=!4m7!3m6!1s0x3962fd52c29d47b9:0xcb69d3c8098f3d9d!8m2!3d22.7181299!4d75.8716488!16s%2Fg%2F11xkmkgw21!19sChIJuUedwlL9YjkRnT2PCcjTacs?authuser=0&hl=en&rclk=1,coffee shops in Indore
