restaurant_name,rating,category,address,phone,website,google_maps_url
Makhanwala | Family Restaurant | Best Restaurant in Indore | Pure Veg Restaurant,4.5,Indian restaurant,"
103, kanchan bagh, near catalyser classes, South Tukoganj, Indore, Madhya Pradesh 452001",,,https://www.google.com/maps/place/Makhanwala+%7C+Family+Restaurant+%7C+Best+Restaurant+in+Indore+%7C+Pure+Veg+Restaurant/data=!4m7!3m6!1s0x3962fd000ea2c47f:0x8549300e22d12cec!8m2!3d22.7182751!4d75.8829961!16s%2Fg%2F11x6dt5f_m!19sChIJf8SiDgD9YjkR7CzRIg4wSYU?authuser=0&hl=en&rclk=1
Al karam Indore kitchen's and restaurants,4.6,Hyderabadi restaurant,"
2nd Floor, 1&2, Madhumilan Square, Opp. Dawa Bazar, Kibe Compound, Indore, Madhya Pradesh 452001","
098934 42270",,https://www.google.com/maps/place/Al+karam+Indore+kitchen%27s+and+restaurants/data=!4m7!3m6!1s0x3962fd93c658f3cf:0x5ebc7ae1bca4ab06!8m2!3d22.7136438!4d75.8745217!16s%2Fg%2F11scjqq_vz!19sChIJz_NYxpP9YjkRBqukvOF6vF4?authuser=0&hl=en&rclk=1
Coriander Leaf Restaurant,4.1,Vegetarian restaurant,"
Alankar Chambers, Plot No 2, Gita Bhawan Rd, opposite V1 Hospital, Ratlam Kothi, Indore, Madhya Pradesh 452001","
099932 30430","
corianderleafrestourant.com",https://www.google.com/maps/place/Coriander+Leaf+Restaurant/data=!4m7!3m6!1s0x3962fd2ac51668a9:0xcb43b52ee4f294f0!8m2!3d22.7168298!4d75.8837702!16s%2Fg%2F11l973fgx3!19sChIJqWgWxSr9YjkR8JTy5C61Q8s?authuser=0&hl=en&rclk=1
Oakaz Restaurant,4.5,North Indian restaurant,"
Geeta, Bhavan Square, opposite Jai Shanker Hanuman Mandir, Kanchan Bagh, Indore, Madhya Pradesh 452001","
083052 85039","
instagram.com",https://www.google.com/maps/place/Oakaz+Restaurant/data=!4m7!3m6!1s0x3962fd3b93490065:0x1c5e002bff6a6751!8m2!3d22.7184605!4d75.8835823!16s%2Fg%2F124yk8kc7!19sChIJZQBJkzv9YjkRUWdq_ysAXhw?authuser=0&hl=en&rclk=1
Kitchen Ministry - Best Restaurant In Indore | Pure Veg (Jeeman),4.2,Restaurant,"
RNT Marg, beside Hotel Shree Maya Celebration, South Tukoganj, Indore, Madhya Pradesh 452001","
083050 71885",,https://www.google.com/maps/place/Kitchen+Ministry+-+Best+Restaurant+In+Indore+%7C+Pure+Veg+%28Jeeman%29/data=!4m7!3m6!1s0x3962fdb02fbc1d49:0x3e5276227dc39bc8!8m2!3d22.7155289!4d75.8752478!16s%2Fg%2F11v5xzt122!19sChIJSR28L7D9YjkRyJvDfSJ2Uj4?authuser=0&hl=en&rclk=1
Dawat Restaurant Indore,4.6,Restaurant,"
G1A-G1B, Fortune Ambience, Sriram Nagar, Dhakkanwala Kua, South Tukoganj, Indore, Madhya Pradesh 452001","
090983 86631","
dawatrestaurantindore.com",https://www.google.com/maps/place/Dawat+Restaurant+Indore/data=!4m7!3m6!1s0x3962fdeb36c29743:0xb78dcb50027ee39c!8m2!3d22.7172114!4d75.8771428!16s%2Fg%2F11wq30byqb!19sChIJQ5fCNuv9YjkRnON-AlDLjbc?authuser=0&hl=en&rclk=1
Dutt Gurukripa Restaurant,4.1,Vegetarian restaurant,,,,https://www.google.com/maps/place/Dutt+Gurukripa+Restaurant/data=!4m7!3m6!1s0x3962fd3e01f9a8f1:0xee2acafd9d69fa2d!8m2!3d22.7197246!4d75.8768473!16s%2Fg%2F11bwydf8x7!19sChIJ8aj5AT79YjkRLfppnf3KKu4?authuser=0&hl=en&rclk=1
Project Charcoal Rooftop Restaurant,4.4,North Indian restaurant,,,,https://www.google.com/maps/place/Project+Charcoal+Rooftop+Restaurant/data=!4m7!3m6!1s0x3962e335849cf1c7:0x3a57704c89c794b2!8m2!3d22.7058535!4d75.9129586!16s%2Fg%2F11tk22l8cy!19sChIJx_GchDXjYjkRspTHiUxwVzo?authuser=0&hl=en&rclk=1
AL-QASIM RESTAURANT,4.6,Restaurant,,,,https://www.google.com/maps/place/AL-QASIM+RESTAURANT/data=!4m7!3m6!1s0x3962fd5fad9e9b9b:0x418a3999c624f0b4!8m2!3d22.7134059!4d75.8694591!16s%2Fg%2F11qpzv92hz!19sChIJm5uerV_9YjkRtPAkxpk5ikE?authuser=0&hl=en&rclk=1
Oh Indore Restaurant and cafe,4.7,Vegetarian restaurant,,,,https://www.google.com/maps/place/Oh+Indore+Restaurant+and+cafe/data=!4m7!3m6!1s0x3962fd3212145a29:0x6b370b6a5f75662f!8m2!3d22.6997837!4d75.8667614!16s%2Fg%2F11p0_bdbmx!19sChIJKVoUEjL9YjkRL2Z1X2oLN2s?authuser=0&hl=en&rclk=1
