name,url,search_query
Dal Bati Surma (Rooftop Restaurant),https://www.google.com/maps/place/Dal+Bati+Surma+%28Rooftop+Restaurant%29/data=!4m7!3m6!1s0x3962fd2e368401c3:0x90f4d8de262f6516!8m2!3d22.7270798!4d75.8840984!16s%2Fg%2F11mwd728x4!19sChIJwwGENi79YjkRFmUvJt7Y9JA?authuser=0&hl=en&rclk=1,new restaurants in Indore
Oakaz Restaurant,https://www.google.com/maps/place/Oakaz+Restaurant/data=!4m7!3m6!1s0x3962fd3b93490065:0x1c5e002bff6a6751!8m2!3d22.7184605!4d75.8835823!16s%2Fg%2F124yk8kc7!19sChIJZQBJkzv9YjkRUWdq_ysAXhw?authuser=0&hl=en&rclk=1,new restaurants in Indore
Al karam Indore kitchen's and restaurants,https://www.google.com/maps/place/Al+karam+Indore+kitchen%27s+and+restaurants/data=!4m7!3m6!1s0x3962fd93c658f3cf:0x5ebc7ae1bca4ab06!8m2!3d22.7136438!4d75.8745217!16s%2Fg%2F11scjqq_vz!19sChIJz_NYxpP9YjkRBqukvOF6vF4?authuser=0&hl=en&rclk=1,new restaurants in Indore
Coriander Leaf Restaurant,https://www.google.com/maps/place/Coriander+Leaf+Restaurant/data=!4m7!3m6!1s0x3962fd2ac51668a9:0xcb43b52ee4f294f0!8m2!3d22.7168298!4d75.8837702!16s%2Fg%2F11l973fgx3!19sChIJqWgWxSr9YjkR8JTy5C61Q8s?authuser=0&hl=en&rclk=1,new restaurants in Indore
Makhanwala | Family Restaurant | Best Restaurant in Indore | Pure Veg Restaurant,https://www.google.com/maps/place/Makhanwala+%7C+Family+Restaurant+%7C+Best+Restaurant+in+Indore+%7C+Pure+Veg+Restaurant/data=!4m7!3m6!1s0x3962fd000ea2c47f:0x8549300e22d12cec!8m2!3d22.7182751!4d75.8829961!16s%2Fg%2F11x6dt5f_m!19sChIJf8SiDgD9YjkR7CzRIg4wSYU?authuser=0&hl=en&rclk=1,new restaurants in Indore
Project Charcoal Rooftop Restaurant,https://www.google.com/maps/place/Project+Charcoal+Rooftop+Restaurant/data=!4m7!3m6!1s0x3962e335849cf1c7:0x3a57704c89c794b2!8m2!3d22.7058535!4d75.9129586!16s%2Fg%2F11tk22l8cy!19sChIJx_GchDXjYjkRspTHiUxwVzo?authuser=0&hl=en&rclk=1,new restaurants in Indore
FOODONS : Indore BEST Chole Kulche | Chole Bhature,https://www.google.com/maps/place/FOODONS+:+Indore+BEST+Chole+Kulche+%7C+Chole+Bhature/data=!4m7!3m6!1s0x3962fde24482e597:0x33ac1c5aab744007!8m2!3d22.7244437!4d75.8846727!16s%2Fg%2F11n16nrgr6!19sChIJl-WCROL9YjkRB0B0q1ocrDM?authuser=0&hl=en&rclk=1,new restaurants in Indore
Daawat Sapphire Star,https://www.google.com/maps/place/Daawat+Sapphire+Star/data=!4m7!3m6!1s0x3962fdf79a411e7b:0xd6afa7df54e7c6eb!8m2!3d22.7253647!4d75.8845819!16s%2Fg%2F11t3_5jn85!19sChIJex5Bmvf9YjkR68bnVN-nr9Y?authuser=0&hl=en&rclk=1,new restaurants in Indore
Feast Lane,https://www.google.com/maps/place/Feast+Lane/data=!4m7!3m6!1s0x3962fd5354c6745b:0xb21dfe8238cd6224!8m2!3d22.7290218!4d75.8857051!16s%2Fg%2F11t6w1_qlt!19sChIJW3TGVFP9YjkRJGLNOIL-HbI?authuser=0&hl=en&rclk=1,new restaurants in Indore
Kitchen Ministry - Best Restaurant In Indore | Pure Veg (Jeeman),https://www.google.com/maps/place/Kitchen+Ministry+-+Best+Restaurant+In+Indore+%7C+Pure+Veg+%28Jeeman%29/data=!4m7!3m6!1s0x3962fdb02fbc1d49:0x3e5276227dc39bc8!8m2!3d22.7155289!4d75.8752478!16s%2Fg%2F11v5xzt122!19sChIJSR28L7D9YjkRyJvDfSJ2Uj4?authuser=0&hl=en&rclk=1,new restaurants in Indore
