name,url,search_query
Makhanwala | Family Restaurant | Best Restaurant in Indore | Pure Veg Restaurant,https://www.google.com/maps/place/Makhanwala+%7C+Family+Restaurant+%7C+Best+Restaurant+in+Indore+%7C+Pure+Veg+Restaurant/data=!4m7!3m6!1s0x3962fd000ea2c47f:0x8549300e22d12cec!8m2!3d22.7182751!4d75.8829961!16s%2Fg%2F11x6dt5f_m!19sChIJf8SiDgD9YjkR7CzRIg4wSYU?authuser=0&hl=en&rclk=1,restaurants in Indore
Oakaz Restaurant,https://www.google.com/maps/place/Oakaz+Restaurant/data=!4m7!3m6!1s0x3962fd3b93490065:0x1c5e002bff6a6751!8m2!3d22.7184605!4d75.8835823!16s%2Fg%2F124yk8kc7!19sChIJZQBJkzv9YjkRUWdq_ysAXhw?authuser=0&hl=en&rclk=1,restaurants in Indore
Al karam Indore kitchen's and restaurants,https://www.google.com/maps/place/Al+karam+Indore+kitchen%27s+and+restaurants/data=!4m7!3m6!1s0x3962fd93c658f3cf:0x5ebc7ae1bca4ab06!8m2!3d22.7136438!4d75.8745217!16s%2Fg%2F11scjqq_vz!19sChIJz_NYxpP9YjkRBqukvOF6vF4?authuser=0&hl=en&rclk=1,restaurants in Indore
Coriander Leaf Restaurant,https://www.google.com/maps/place/Coriander+Leaf+Restaurant/data=!4m7!3m6!1s0x3962fd2ac51668a9:0xcb43b52ee4f294f0!8m2!3d22.7168298!4d75.8837702!16s%2Fg%2F11l973fgx3!19sChIJqWgWxSr9YjkR8JTy5C61Q8s?authuser=0&hl=en&rclk=1,restaurants in Indore
Project Charcoal Rooftop Restaurant,https://www.google.com/maps/place/Project+Charcoal+Rooftop+Restaurant/data=!4m7!3m6!1s0x3962e335849cf1c7:0x3a57704c89c794b2!8m2!3d22.7058535!4d75.9129586!16s%2Fg%2F11tk22l8cy!19sChIJx_GchDXjYjkRspTHiUxwVzo?authuser=0&hl=en&rclk=1,restaurants in Indore
Dal Bati Surma (Rooftop Restaurant),https://www.google.com/maps/place/Dal+Bati+Surma+%28Rooftop+Restaurant%29/data=!4m7!3m6!1s0x3962fd2e368401c3:0x90f4d8de262f6516!8m2!3d22.7270798!4d75.8840984!16s%2Fg%2F11mwd728x4!19sChIJwwGENi79YjkRFmUvJt7Y9JA?authuser=0&hl=en&rclk=1,restaurants in Indore
Kitchen Ministry - Best Restaurant In Indore | Pure Veg (Jeeman),https://www.google.com/maps/place/Kitchen+Ministry+-+Best+Restaurant+In+Indore+%7C+Pure+Veg+%28Jeeman%29/data=!4m7!3m6!1s0x3962fdb02fbc1d49:0x3e5276227dc39bc8!8m2!3d22.7155289!4d75.8752478!16s%2Fg%2F11v5xzt122!19sChIJSR28L7D9YjkRyJvDfSJ2Uj4?authuser=0&hl=en&rclk=1,restaurants in Indore
FLAME BY FIRE & SMOKE,https://www.google.com/maps/place/FLAME+BY+FIRE+%26+SMOKE/data=!4m7!3m6!1s0x3962fdc955e5a5b7:0x2f71a1853094cd02!8m2!3d22.7439376!4d75.8927963!16s%2Fg%2F11sg1tp5c2!19sChIJt6XlVcn9YjkRAs2UMIWhcS8?authuser=0&hl=en&rclk=1,restaurants in Indore
Munch N Mime - Indo. Western Food Junction,https://www.google.com/maps/place/Munch+N+Mime+-+Indo.+Western+Food+Junction/data=!4m7!3m6!1s0x3962fdc006d7157f:0x478977a36059b2cb!8m2!3d22.7184114!4d75.8834227!16s%2Fg%2F11vrrrl8lr!19sChIJfxXXBsD9YjkRy7JZYKN3iUc?authuser=0&hl=en&rclk=1,restaurants in Indore
Oh Indore Restaurant and cafe,https://www.google.com/maps/place/Oh+Indore+Restaurant+and+cafe/data=!4m7!3m6!1s0x3962fd3212145a29:0x6b370b6a5f75662f!8m2!3d22.6997837!4d75.8667614!16s%2Fg%2F11p0_bdbmx!19sChIJKVoUEjL9YjkRL2Z1X2oLN2s?authuser=0&hl=en&rclk=1,restaurants in Indore
Aarambh Restaurant and Banquet,https://www.google.com/maps/place/Aarambh+Restaurant+and+Banquet/data=!4m7!3m6!1s0x3962fd1fd43153a5:0xb5a50727f97c3c27!8m2!3d22.7013261!4d75.869552!16s%2Fg%2F11vq2c3_8h!19sChIJpVMx1B_9YjkRJzx8-ScHpbU?authuser=0&hl=en&rclk=1,restaurants in Indore
Dutt Gurukripa Restaurant,https://www.google.com/maps/place/Dutt+Gurukripa+Restaurant/data=!4m7!3m6!1s0x3962fd3e01f9a8f1:0xee2acafd9d69fa2d!8m2!3d22.7197246!4d75.8768473!16s%2Fg%2F11bwydf8x7!19sChIJ8aj5AT79YjkRLfppnf3KKu4?authuser=0&hl=en&rclk=1,restaurants in Indore
Nafees Restaurant,https://www.google.com/maps/place/Nafees+Restaurant/data=!4m7!3m6!1s0x3962fd3801510bbf:0x6d8191294761bb3d!8m2!3d22.7258553!4d75.8879332!16s%2Fg%2F1tk8l_9q!19sChIJvwtRATj9YjkRPbthRymRgW0?authuser=0&hl=en&rclk=1,restaurants in Indore
Dawat Restaurant Indore,https://www.google.com/maps/place/Dawat+Restaurant+Indore/data=!4m7!3m6!1s0x3962fdeb36c29743:0xb78dcb50027ee39c!8m2!3d22.7172114!4d75.8771428!16s%2Fg%2F11wq30byqb!19sChIJQ5fCNuv9YjkRnON-AlDLjbc?authuser=0&hl=en&rclk=1,restaurants in Indore
FOODONS : Indore BEST Chole Kulche | Chole Bhature,https://www.google.com/maps/place/FOODONS+:+Indore+BEST+Chole+Kulche+%7C+Chole+Bhature/data=!4m7!3m6!1s0x3962fde24482e597:0x33ac1c5aab744007!8m2!3d22.7244437!4d75.8846727!16s%2Fg%2F11n16nrgr6!19sChIJl-WCROL9YjkRB0B0q1ocrDM?authuser=0&hl=en&rclk=1,restaurants in Indore
MBA THALIWALA,https://www.google.com/maps/place/MBA+THALIWALA/data=!4m7!3m6!1s0x3962fdd818306ff1:0x8d29ce6b3961ed09!8m2!3d22.7266879!4d75.8799462!16s%2Fg%2F11q9m6blbv!19sChIJ8W8wGNj9YjkRCe1hOWvOKY0?authuser=0&hl=en&rclk=1,restaurants in Indore
Indore Kitchen,https://www.google.com/maps/place/Indore+Kitchen/data=!4m7!3m6!1s0x396303652212c735:0x717b2f094a61f41b!8m2!3d22.752761!4d75.883601!16s%2Fg%2F11kfr5nz07!19sChIJNccSImUDYzkRG_RhSgkve3E?authuser=0&hl=en&rclk=1,restaurants in Indore
Daawat Sapphire Star,https://www.google.com/maps/place/Daawat+Sapphire+Star/data=!4m7!3m6!1s0x3962fdf79a411e7b:0xd6afa7df54e7c6eb!8m2!3d22.7253647!4d75.8845819!16s%2Fg%2F11t3_5jn85!19sChIJex5Bmvf9YjkR68bnVN-nr9Y?authuser=0&hl=en&rclk=1,restaurants in Indore
Alba Bistro,https://www.google.com/maps/place/Alba+Bistro/data=!4m7!3m6!1s0x3962fd40a7fa9ff5:0xafe8d23fb6b29b85!8m2!3d22.7439472!4d75.8929235!16s%2Fg%2F11rj63sr0q!19sChIJ9Z_6p0D9YjkRhZuytj_S6K8?authuser=0&hl=en&rclk=1,restaurants in Indore
Shree Chotiwala Restaurant,https://www.google.com/maps/place/Shree+Chotiwala+Restaurant/data=!4m7!3m6!1s0x3962fd1640000001:0xfc42c4d50be8e388!8m2!3d22.7195033!4d75.8767926!16s%2Fg%2F1vxw6p1p!19sChIJAQAAQBb9YjkRiOPoC9XEQvw?authuser=0&hl=en&rclk=1,restaurants in Indore
Kitchen Ministry - Best Restaurant In Indore | Pure Veg (Jeeman),https://www.google.com/maps/place/Kitchen+Ministry+-+Best+Restaurant+In+Indore+%7C+Pure+Veg+%28Jeeman%29/data=!4m7!3m6!1s0x3962fdb02fbc1d49:0x3e5276227dc39bc8!8m2!3d22.7155289!4d75.8752478!16s%2Fg%2F11v5xzt122!19sChIJSR28L7D9YjkRyJvDfSJ2Uj4?authuser=0&hl=en&rclk=1,restaurants in Indore
Golden Treat,https://www.google.com/maps/place/Golden+Treat/data=!4m7!3m6!1s0x3962fd3be7309491:0x5ecafdb670684047!8m2!3d22.7195645!4d75.8837588!16s%2Fg%2F11byxgdwkz!19sChIJkZQw5zv9YjkRR0BocLb9yl4?authuser=0&hl=en&rclk=1,restaurants in Indore
MBA THALIWALA,https://www.google.com/maps/place/MBA+THALIWALA/data=!4m7!3m6!1s0x3962fdd818306ff1:0x8d29ce6b3961ed09!8m2!3d22.7266879!4d75.8799462!16s%2Fg%2F11q9m6blbv!19sChIJ8W8wGNj9YjkRCe1hOWvOKY0?authuser=0&hl=en&rclk=1,restaurants in Indore
Shrivari Cafe - South Indian Restaurant,https://www.google.com/maps/place/Shrivari+Cafe+-+South+Indian+Restaurant/data=!4m7!3m6!1s0x3962fd10d68f67eb:0x67712821d0aa8b98!8m2!3d22.7191746!4d75.8748763!16s%2Fg%2F11ytfk8slr!19sChIJ62eP1hD9YjkRmIuq0CEocWc?authuser=0&hl=en&rclk=1,restaurants in Indore
Burger Farm,https://www.google.com/maps/place/Burger+Farm/data=!4m7!3m6!1s0x3962fd31016a1407:0x6967d36929f17fa1!8m2!3d22.7188535!4d75.883832!16s%2Fg%2F11v0z1dntm!19sChIJBxRqATH9YjkRoX_xKWnTZ2k?authuser=0&hl=en&rclk=1,restaurants in Indore
McDonald's,https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x3962fd6d5c629411:0xf7bbb1019d94e8a7!8m2!3d22.7215317!4d75.8786258!16s%2Fg%2F1tg8h3_5!19sChIJEZRiXG39YjkRp-iUnQGxu_c?authuser=0&hl=en&rclk=1,restaurants in Indore
Asia Seven Indore,https://www.google.com/maps/place/Asia+Seven+Indore/data=!4m7!3m6!1s0x3962fdc4bce7d059:0x5af7fe0d70215aeb!8m2!3d22.7211357!4d75.8787169!16s%2Fg%2F11rxmqr0t0!19sChIJWdDnvMT9YjkR61ohcA3-91o?authuser=0&hl=en&rclk=1,restaurants in Indore
