name,url,search_query
Oakaz Restaurant,https://www.google.com/maps/place/Oakaz+Restaurant/data=!4m7!3m6!1s0x3962fd3b93490065:0x1c5e002bff6a6751!8m2!3d22.7184605!4d75.8835823!16s%2Fg%2F124yk8kc7!19sChIJZQBJkzv9YjkRUWdq_ysAXhw?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Epicure Rooftop Restaurant,https://www.google.com/maps/place/Epicure+Rooftop+Restaurant/data=!4m7!3m6!1s0x3962fd130e6d1ff9:0xc1d3faec795b68e4!8m2!3d22.7176164!4d75.8770958!16s%2Fg%2F11y294cdrp!19sChIJ-R9tDhP9YjkR5Ghbeez608E?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
The HighGarden Cafe,https://www.google.com/maps/place/The+HighGarden+Cafe/data=!4m7!3m6!1s0x3962fde5e4367af5:0x3d68f1d6937299b5!8m2!3d22.7230349!4d75.8912168!16s%2Fg%2F11f8md3vbp!19sChIJ9Xo25OX9YjkRtZlyk9bxaD0?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Terazza Veg Kitchen,https://www.google.com/maps/place/Terazza+Veg+Kitchen/data=!4m7!3m6!1s0x3962fd56c4014007:0x7056b9d9a6baab8e!8m2!3d22.7451062!4d75.8922699!16s%2Fg%2F12m99bq4g!19sChIJB0ABxFb9YjkRjqu6ptm5VnA?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
The Society Rooftop Café & Bistro,https://www.google.com/maps/place/The+Society+Rooftop+Caf%C3%A9+%26+Bistro/data=!4m7!3m6!1s0x3963030bf1f9780f:0xf1c0acc1d87099ad!8m2!3d22.7566567!4d75.8889474!16s%2Fg%2F11n3_7n96p!19sChIJD3j58QsDYzkRrZlw2MGswPE?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Pool Side Cafe,https://www.google.com/maps/place/Pool+Side+Cafe/data=!4m7!3m6!1s0x3962fd1efd33076f:0xfc056e11a26ada5!8m2!3d22.7287351!4d75.888215!16s%2Fg%2F11pcprh39g!19sChIJbwcz_R79YjkRpa0mGuFWwA8?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Project Charcoal Rooftop Restaurant,https://www.google.com/maps/place/Project+Charcoal+Rooftop+Restaurant/data=!4m7!3m6!1s0x3962e335849cf1c7:0x3a57704c89c794b2!8m2!3d22.7058535!4d75.9129586!16s%2Fg%2F11tk22l8cy!19sChIJx_GchDXjYjkRspTHiUxwVzo?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Blue Roof Café,https://www.google.com/maps/place/Blue+Roof+Caf%C3%A9/data=!4m7!3m6!1s0x3962fd74cf7bf7cb:0x377b4f31882cc311!8m2!3d22.7351791!4d75.8895439!16s%2Fg%2F11rnnv75n3!19sChIJy_d7z3T9YjkREcMsiDFPezc?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
SPRUZZO THE COCKTAIL GARDEN,https://www.google.com/maps/place/SPRUZZO+THE+COCKTAIL+GARDEN/data=!4m7!3m6!1s0x3962fd38b9a8ee43:0xfef92b2a9b18841a!8m2!3d22.727195!4d75.8845639!16s%2Fg%2F11ksc4ddzl!19sChIJQ-6ouTj9YjkRGoQYmyor-f4?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
The Monroe Cafe,https://www.google.com/maps/place/The+Monroe+Cafe/data=!4m7!3m6!1s0x3962fd476996de89:0xdc938936a2d350ea!8m2!3d22.7266989!4d75.8841489!16s%2Fg%2F11byxh3lzz!19sChIJid6WaUf9YjkR6lDTojaJk9w?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Hopin - Patio Cafe,https://www.google.com/maps/place/Hopin+-+Patio+Cafe/data=!4m7!3m6!1s0x3962fdd7bf9fca49:0xb2785b5bb66dbed3!8m2!3d22.7303917!4d75.8846806!16s%2Fg%2F11s9h3cl7j!19sChIJScqfv9f9YjkR075ttltbeLI?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Farzi Cafe Indore,https://www.google.com/maps/place/Farzi+Cafe+Indore/data=!4m7!3m6!1s0x3962fd11bdc3813b:0xa99558d72c6f05b!8m2!3d22.7498929!4d75.8968562!16s%2Fg%2F11h0qcgxzd!19sChIJO4HDvRH9YjkRW_DGco1VmQo?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Dal Bati Surma (Rooftop Restaurant),https://www.google.com/maps/place/Dal+Bati+Surma+%28Rooftop+Restaurant%29/data=!4m7!3m6!1s0x3962fd2e368401c3:0x90f4d8de262f6516!8m2!3d22.7270798!4d75.8840984!16s%2Fg%2F11mwd728x4!19sChIJwwGENi79YjkRFmUvJt7Y9JA?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
De L'amour | Rooftop Restaurant | Vijay Nagar Indore,https://www.google.com/maps/place/De+L%27amour+%7C+Rooftop+Restaurant+%7C+Vijay+Nagar+Indore/data=!4m7!3m6!1s0x39630321ed011dd3:0x3a2a59b9147296c6!8m2!3d22.761732!4d75.887192!16s%2Fg%2F11vb15m7p1!19sChIJ0x0B7SEDYzkRxpZyFLlZKjo?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Meraki House Cafe,https://www.google.com/maps/place/Meraki+House+Cafe/data=!4m7!3m6!1s0x3962fdb7586074f9:0x8625873366535293!8m2!3d22.7157182!4d75.8901041!16s%2Fg%2F11wy72yg9q!19sChIJ-XRgWLf9YjkRk1JTZjOHJYY?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
5/78 SKY BAR,https://www.google.com/maps/place/5%2F78+SKY+BAR/data=!4m7!3m6!1s0x3963031ffb7c3629:0x2382f2183ad4fb5b!8m2!3d22.762911!4d75.8819313!16s%2Fg%2F11h289_3t5!19sChIJKTZ8-x8DYzkRW_vUOhjygiM?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Avante Dine and Cafe,https://www.google.com/maps/place/Avante+Dine+and+Cafe/data=!4m7!3m6!1s0x39631d644814aca1:0x8e5edea6084ca023!8m2!3d22.7528664!4d75.9169428!16s%2Fg%2F11v5b__yx_!19sChIJoawUSGQdYzkRI6BMCKbeXo4?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Aether Rooftop Bar & Kitchen,https://www.google.com/maps/place/Aether+Rooftop+Bar+%26+Kitchen/data=!4m7!3m6!1s0x3962e35d34189ba1:0x41626fffe3c5d3bb!8m2!3d22.7278553!4d75.9313569!16s%2Fg%2F11mcc5yw5f!19sChIJoZsYNF3jYjkRu9PF4_9vYkE?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
FLAME BY FIRE & SMOKE,https://www.google.com/maps/place/FLAME+BY+FIRE+%26+SMOKE/data=!4m7!3m6!1s0x3962fdc955e5a5b7:0x2f71a1853094cd02!8m2!3d22.7439376!4d75.8927963!16s%2Fg%2F11sg1tp5c2!19sChIJt6XlVcn9YjkRAs2UMIWhcS8?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
RIOT Rooftop cafe & Restaurant,https://www.google.com/maps/place/RIOT+Rooftop+cafe+%26+Restaurant/data=!4m7!3m6!1s0x39631d89ec80cf27:0x2e46e66f4294969b!8m2!3d22.7566789!4d75.8890527!16s%2Fg%2F11h5lspmzh!19sChIJJ8-A7IkdYzkRm5aUQm_mRi4?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Around the Block,https://www.google.com/maps/place/Around+the+Block/data=!4m7!3m6!1s0x3962fd2d27eca249:0x679cd1d3aa4fa1e6!8m2!3d22.7222108!4d75.8853065!16s%2Fg%2F11wvmn3_vv!19sChIJSaLsJy39YjkR5qFPqtPRnGc?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
The Eyry | Speciality Coffee | Amazing Food & Bakery | Coworking space Indore,https://www.google.com/maps/place/The+Eyry+%7C+Speciality+Coffee+%7C+Amazing+Food+%26+Bakery+%7C+Coworking+space+Indore/data=!4m7!3m6!1s0x3962fd4093ea09f9:0xff8b4c258c6a0b79!8m2!3d22.7268009!4d75.8803164!16s%2Fg%2F11f28vmr0r!19sChIJ-Qnqk0D9YjkReQtqjCVMi_8?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Farzi Cafe Indore,https://www.google.com/maps/place/Farzi+Cafe+Indore/data=!4m7!3m6!1s0x3962fd11bdc3813b:0xa99558d72c6f05b!8m2!3d22.7498929!4d75.8968562!16s%2Fg%2F11h0qcgxzd!19sChIJO4HDvRH9YjkRW_DGco1VmQo?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
Cafe @ Blu,https://www.google.com/maps/place/Cafe+@+Blu/data=!4m7!3m6!1s0x3962fd3b99ac935d:0x3250e40310670634!8m2!3d22.7178889!4d75.8839521!16s%2Fg%2F1pzq601nb!19sChIJXZOsmTv9YjkRNAZnEAPkUDI?authuser=0&hl=en&rclk=1,rooftop cafes in Indore
