name,url,search_query
The Crush Coffee,https://www.google.com/maps/place/The+Crush+Coffee/data=!4m7!3m6!1s0x3962fdb184f72699:0x2bde6564a7e20ba2!8m2!3d22.7188324!4d75.8840749!16s%2Fg%2F11w7nry4mr!19sChIJmSb3hLH9YjkRogvip2Rl3is?authuser=0&hl=en&rclk=1,viral cafes in Indore
Habit - Coffee Lounge,https://www.google.com/maps/place/Habit+-+Coffee+Lounge/data=!4m7!3m6!1s0x3962fdfe22054479:0x37e30356ffbafc6c!8m2!3d22.7250854!4d75.8844668!16s%2Fg%2F11rtszrf8k!19sChIJeUQFIv79YjkRbPy6_1YD4zc?authuser=0&hl=en&rclk=1,viral cafes in Indore
11:11 Coffee,https://www.google.com/maps/place/11:11+Coffee/data=!4m7!3m6!1s0x3962fd15ae9986a9:0xfea89cab0831fc0a!8m2!3d22.7215903!4d75.8742028!16s%2Fg%2F1hm6743kp!19sChIJqYaZrhX9YjkRCvwxCKucqP4?authuser=0&hl=en&rclk=1,viral cafes in Indore
Bunkyard Cafe Indore,https://www.google.com/maps/place/Bunkyard+Cafe+Indore/data=!4m7!3m6!1s0x3962fd3d4f45dfe5:0xbefba83c589df7ce!8m2!3d22.7199683!4d75.8883226!16s%2Fg%2F11qh7h09sk!19sChIJ5d9FTz39YjkRzvedWDyo-74?authuser=0&hl=en&rclk=1,viral cafes in Indore
Amigos Café and Restaurant,https://www.google.com/maps/place/Amigos+Caf%C3%A9+and+Restaurant/data=!4m7!3m6!1s0x3962e3e170ab6969:0xc952f77b59d472f2!8m2!3d22.7304376!4d75.9024182!16s%2Fg%2F11s8c12hjf!19sChIJaWmrcOHjYjkR8nLUWXv3Usk?authuser=0&hl=en&rclk=1,viral cafes in Indore
Lotus Hut Cafe,https://www.google.com/maps/place/Lotus+Hut+Cafe/data=!4m7!3m6!1s0x3962fd158c5708c7:0x3b67a2b95a8d23de!8m2!3d22.720828!4d75.8758399!16s%2Fg%2F11dympbhk4!19sChIJxwhXjBX9YjkR3iONWrmiZzs?authuser=0&hl=en&rclk=1,viral cafes in Indore
Piccolo Cafe,https://www.google.com/maps/place/Piccolo+Cafe/data=!4m7!3m6!1s0x396303f6b39d7283:0x7d2802e4e4eae2fa!8m2!3d22.7545465!4d75.8812716!16s%2Fg%2F11vpt8fxmg!19sChIJg3Kds_YDYzkR-uLq5OQCKH0?authuser=0&hl=en&rclk=1,viral cafes in Indore
Cafe Bakewell,https://www.google.com/maps/place/Cafe+Bakewell/data=!4m7!3m6!1s0x3962fd3c1f4bdeaf:0x9fbc80b791e196e6!8m2!3d22.719512!4d75.8836762!16s%2Fg%2F1260ct7z2!19sChIJr95LHzz9YjkR5pbhkbeAvJ8?authuser=0&hl=en&rclk=1,viral cafes in Indore
Mangosteen Cafe,https://www.google.com/maps/place/Mangosteen+Cafe/data=!4m7!3m6!1s0x3962e3802902f807:0xbc78ea44094fb566!8m2!3d22.7060253!4d75.9242174!16s%2Fg%2F11y3v0852w!19sChIJB_gCKYDjYjkRZrVPCUTqeLw?authuser=0&hl=en&rclk=1,viral cafes in Indore
Godwit Cafe | Best Cafes in Indore | Best Jain food in Indore | Pure Veg restaurant,https://www.google.com/maps/place/Godwit+Cafe+%7C+Best+Cafes+in+Indore+%7C+Best+Jain+food+in+Indore+%7C+Pure+Veg+restaurant/data=!4m7!3m6!1s0x3962e381a95ec017:0x2acaf1275e657ade!8m2!3d22.7026586!4d75.9195681!16s%2Fg%2F11js3nk7bn!19sChIJF8BeqYHjYjkR3nplXifxyio?authuser=0&hl=en&rclk=1,viral cafes in Indore
The Throb Cafe,https://www.google.com/maps/place/The+Throb+Cafe/data=!4m7!3m6!1s0x3962fd0d18618beb:0x2d1d60a5760b83be!8m2!3d22.7285732!4d75.8941384!16s%2Fg%2F11vqlsbb47!19sChIJ64thGA39YjkRvoMLdqVgHS0?authuser=0&hl=en&rclk=1,viral cafes in Indore
"Cafe Palette, Indore","https://www.google.com/maps/place/Cafe+Palette,+Indore/data=!4m7!3m6!1s0x3962fd353fef94f5:0xb043c67e57f1559c!8m2!3d22.7254257!4d75.8985215!16s%2Fg%2F1hc2_qnh4!19sChIJ9ZTvPzX9YjkRnFXxV37GQ7A?authuser=0&hl=en&rclk=1",viral cafes in Indore
Siolim Specialty Coffee Roasters Indore,https://www.google.com/maps/place/Siolim+Specialty+Coffee+Roasters+Indore/data=!4m7!3m6!1s0x3962fdbb7229cd9f:0x79092c805f4131fb!8m2!3d22.6992266!4d75.8717483!16s%2Fg%2F11t7pcr5gs!19sChIJn80pcrv9YjkR-zFBX4AsCXk?authuser=0&hl=en&rclk=1,viral cafes in Indore
Love Over Coffee - Indore ( Vijay Nagar ),https://www.google.com/maps/place/Love+Over+Coffee+-+Indore+%28+Vijay+Nagar+%29/data=!4m7!3m6!1s0x396303b7ab9d7fc1:0x174fc25b02d1bd8f!8m2!3d22.7619057!4d75.880809!16s%2Fg%2F11vd8wk84l!19sChIJwX-dq7cDYzkRj73RAlvCTxc?authuser=0&hl=en&rclk=1,viral cafes in Indore
The Sukoon Cafe,https://www.google.com/maps/place/The+Sukoon+Cafe/data=!4m7!3m6!1s0x3962fdcc271ae3d9:0xa96dd239451160e2!8m2!3d22.6971704!4d75.8754319!16s%2Fg%2F11h6ml3_m9!19sChIJ2eMaJ8z9YjkR4mARRTnSbak?authuser=0&hl=en&rclk=1,viral cafes in Indore
Hopin - Patio Cafe,https://www.google.com/maps/place/Hopin+-+Patio+Cafe/data=!4m7!3m6!1s0x3962fdd7bf9fca49:0xb2785b5bb66dbed3!8m2!3d22.7303917!4d75.8846806!16s%2Fg%2F11s9h3cl7j!19sChIJScqfv9f9YjkR075ttltbeLI?authuser=0&hl=en&rclk=1,viral cafes in Indore
Flavours Of Jail ( Jail Cafe India ),https://www.google.com/maps/place/Flavours+Of+Jail+%28+Jail+Cafe+India+%29/data=!4m7!3m6!1s0x3962fce0b94d8411:0x22c894208dfaa828!8m2!3d22.6971347!4d75.8755301!16s%2Fg%2F11ggshfh3h!19sChIJEYRNueD8YjkRKKj6jSCUyCI?authuser=0&hl=en&rclk=1,viral cafes in Indore
The Eyry | Speciality Coffee | Amazing Food & Bakery | Coworking space Indore,https://www.google.com/maps/place/The+Eyry+%7C+Speciality+Coffee+%7C+Amazing+Food+%26+Bakery+%7C+Coworking+space+Indore/data=!4m7!3m6!1s0x3962fd4093ea09f9:0xff8b4c258c6a0b79!8m2!3d22.7268009!4d75.8803164!16s%2Fg%2F11f28vmr0r!19sChIJ-Qnqk0D9YjkReQtqjCVMi_8?authuser=0&hl=en&rclk=1,viral cafes in Indore
Cafe De Casa,https://www.google.com/maps/place/Cafe+De+Casa/data=!4m7!3m6!1s0x396303cf654e0ed7:0x10569e23dcf2ec91!8m2!3d22.7611507!4d75.8872803!16s%2Fg%2F11shx883tn!19sChIJ1w5OZc8DYzkRkezy3COeVhA?authuser=0&hl=en&rclk=1,viral cafes in Indore
Urban Lokal Cafe,https://www.google.com/maps/place/Urban+Lokal+Cafe/data=!4m7!3m6!1s0x3962fd2547ee5863:0x7e943b9cf1bf0e3e!8m2!3d22.7138423!4d75.8868096!16s%2Fg%2F11c6s47dhd!19sChIJY1juRyX9YjkRPg6_8Zw7lH4?authuser=0&hl=en&rclk=1,viral cafes in Indore
